# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.266890002232996437e+01 3.434773997138853474e+01 1.189989627654166725e+03 9.297233817936233491e-01 1.874931897843543083e-01 1.779656727765396573e-01
4.629167210221630313e+01 2.825274437348284806e+01 1.228192638232855415e+03 9.344571772104957041e-01 -3.652502289782364603e-02 3.586911632781797921e-01
4.221142677145824962e+01 3.733062071537533910e+01 9.148794138307678168e+02 6.782522623135505135e-01 6.320571668332034543e-01 -1.580927613275081023e-01
3.935963282867992774e+01 3.469477419411543906e+01 1.172855949273219494e+03 9.069141016451810478e-01 -2.782831929024979778e-01 6.500270080532456474e-01
4.037954336225931939e+01 3.607158221484124283e+01 1.154445982809009365e+03 9.250637362491773708e-01 8.703381630204630737e-01 -7.392433887493504718e-01
5.585198340412433282e+01 2.659966931856302352e+01 1.163442660805338164e+03 9.050085460509178503e-01 3.524843730959240085e-01 -2.736877630457547061e-01
4.921417245131772233e+01 2.377871627383570541e+01 9.520031728267761082e+02 8.603939486514542434e-01 -1.935498409862751734e-01 5.085298611425735915e-01
3.873471713380438786e+01 3.416119182873717364e+01 6.868635419779781159e+02 5.106760330485470289e-01 -1.220701429479745942e-02 1.499654021468566079e-01
4.252782297850468751e+01 3.127218495132880349e+01 7.981625537972261100e+02 7.141532954328908556e-01 9.717396547312281974e-02 2.497932255615932517e-02
4.181647108180061423e+01 3.037475002841604521e+01 1.135505409084921212e+03 9.789071034745163713e-01 -3.448795508642621237e-03 1.345182337291641050e-01
4.724898301980572768e+01 2.596848073701447035e+01 1.133001892990885608e+03 9.488064045076423092e-01 -5.901948132649781353e-02 2.702517047434423447e-01
