# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.685479194160346594e+01 3.189843519492213986e+01 2.285943528521381154e+02 -2.742860833266446210e-02 4.975581660057561972e-01 -3.700325252089284866e-01
3.462962880297180135e+01 3.440219027618481817e+01 4.468066466800435705e+02 -9.267806293404329265e-01 -2.293679169583223709e-01 -1.849776799970703767e-02
3.545735451210254041e+01 3.287743654272360772e+01 4.192438241733240716e+02 -9.728568474135289579e-01 -2.924490758453466843e-01 7.388046698471699425e-02
4.088312918924048489e+01 3.197059604021480084e+01 3.927514525572428852e+02 -9.237709451856188636e-01 1.263186319782080291e-01 -1.178139226038987936e-01
3.833642409977935728e+01 3.650813368510264212e+01 3.822002520994409451e+02 -8.707521657635624024e-01 -1.551645478941801881e-01 3.195869653661143617e-01
4.120800573457839278e+01 3.351096384834119846e+01 5.047942522156014320e+02 -8.325376876010557314e-01 9.364842867218359235e-02 1.111117821684484280e-01
3.889362617828614077e+01 3.687210803372448709e+01 5.244982063005542159e+02 -7.662827164730672269e-01 7.577700586908452107e-02 1.611019315292877563e-01
3.646885251918180160e+01 3.153320199101054655e+01 3.245909781015032536e+02 -8.381689990667530177e-01 -4.051574649423241303e-01 1.074390659878913939e-01
3.801143160012959754e+01 3.575656689097997543e+01 5.906546653793385531e+02 -9.655574856100825887e-01 1.869906029660473312e-01 -7.741498735111677909e-02
3.560129196577636890e+01 3.458134094079689191e+01 2.435235068477255993e+02 -4.978447807829537997e-01 9.865928993746116149e-02 -2.394251845747285556e-01
3.696623900411447750e+01 3.441041444882739597e+01 5.054666931735508797e+02 -9.801147500951229441e-01 2.563723649743588906e-01 -3.416126281729393033e-01
3.823101997888101522e+01 3.606899605673900311e+01 4.743961125231726896e+02 -9.358420716092609171e-01 -1.976659633050343312e-01 3.743988551507186902e-01
3.926540334821746114e+01 3.192926177560304879e+01 4.176477206790626724e+02 -6.620094474719346866e-01 6.321800178351315302e-02 -2.424400016399128055e-01
4.154459544544016580e+01 3.519683546272317898e+01 4.368371938997431130e+02 -7.901596024389273554e-01 -6.512322842675068169e-02 3.039367849690085555e-01
3.996363248186306549e+01 3.173041805510393232e+01 4.572273964044298964e+02 -9.962979665513942429e-01 -4.833037619141185987e-02 -1.282872626370666277e-02
3.896203711452431406e+01 3.779347371012129031e+01 3.174054284519070279e+02 5.996208118267772752e-02 3.056531064991088176e-01 -3.786384996862814101e-02
3.738042331636856375e+01 3.708329342560596587e+01 3.049766964754441574e+02 2.276126005367087590e-01 6.720126362012976418e-02 2.969252801138844849e-03
3.540842049987168849e+01 3.428535577138617185e+01 3.478538023982316076e+02 -9.893553105891425004e-01 1.295833675672906915e-01 -3.442427514543378031e-01
3.827697132087044452e+01 3.212124103544391573e+01 3.903057641923196002e+02 -9.904331877275851514e-01 2.665184526380903196e-01 -4.833512745727017723e-01
3.584794840765249546e+01 3.507486581895385314e+01 5.221996107311180140e+02 -9.031071980435908531e-01 -1.551294580247885857e-01 3.715500543680645001e-02
3.857868961575309186e+01 3.720045943316548431e+01 3.698281741632319495e+02 -6.561461292079430185e-01 1.275501171651488574e-01 8.120432502524511931e-02
4.029092397971979267e+01 3.537513974034925468e+01 4.674101283724752989e+02 -9.661499754666748041e-01 -3.174386431372318990e-02 1.915573914571958025e-01
4.059400985525003591e+01 3.250681887566322814e+01 4.901313167688426802e+02 -8.975953208556471941e-01 3.206973902879817206e-01 -3.762118037678572335e-01
3.916811572129101648e+01 3.320334919165926379e+01 5.059961292087459128e+02 -8.722888773507138094e-01 -4.667663870277262428e-02 6.710163170697076851e-02
3.699950776053424306e+01 3.510291349737603639e+01 4.815952995164302024e+02 -8.296166001171421112e-01 -1.513731386872851081e-01 1.135437067912881959e-01
3.838038260466406371e+01 3.475148078419683628e+01 5.734181964391742667e+02 -9.023475816672077432e-01 8.866812231990520501e-03 7.922613714090466497e-02
4.409685144816300806e+01 2.890681295328641554e+01 5.290892424522977535e+02 -8.838885729706176253e-01 2.377229391185533766e-02 -3.494450344846638384e-02
3.980538134136704542e+01 3.060259804130678774e+01 3.649961182046683348e+02 -8.294845240028706490e-01 -8.617751950210778000e-02 -7.514545376129760923e-02
3.748718028686127468e+01 3.511806542437137324e+01 4.171600340967120815e+02 -8.545772680862705473e-01 8.393445850470369896e-02 -7.660103804486763368e-02
3.971251059348868040e+01 3.504880109736956939e+01 5.484908081305020460e+02 -9.421296103243951281e-01 -4.805533777865905048e-02 2.327338401461575002e-01
4.130704480963063219e+01 3.053085691837287641e+01 3.395253251692698200e+02 -8.295733435249981191e-01 2.121176676792350113e-01 -4.514457276889279891e-01
